driver_number,driver_name,lap_number,stint_number,compound,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration
14,ALO,13,5,SOFT,27.099,39.016,26.053,307.0,277,92.168
63,RUS,23,5,HARD,28.899,42.253,27.884,281.0,260,99.036
4,NOR,9,2,MEDIUM,27.702,40.208,26.866,303.0,273,94.776
31,OCO,6,1,MEDIUM,45.467,65.74,44.894,142.0,155,156.101
4,NOR,20,4,HARD,28.534,41.746,27.968,288.0,271,98.248
16,LEC,5,1,SOFT,27.052,39.068,26.286,314.0,281,92.406
10,GAS,3,1,MEDIUM,28.2,40.642,26.945,304.0,271,95.787
1,VER,7,3,MEDIUM,35.875554819720385,48.226,28.032,277.0,255,526.624
14,ALO,10,2,SOFT,27.532,39.246,26.273,306.0,275,93.051
2,SAR,26,5,MEDIUM,29.106,43.02,28.182,294.0,263,100.308
14,ALO,23,4,SOFT,28.693,41.222,27.476,282.0,264,97.391
24,ZHO,8,1,HARD,28.539,41.323,27.586,301.0,271,97.448
4,NOR,14,4,SOFT,39.729,54.098,39.839,211.0,227,133.666
40,RESERVE,8,3,SOFT,27.328,38.742,26.145,308.0,277,92.215
24,ZHO,21,3,HARD,29.472,48.688,28.995,280.0,255,107.155
63,RUS,17,3,MEDIUM,28.774,53.904,29.17,285.0,117,111.848
77,BOT,3,1,MEDIUM,40.847,58.96,36.406,246.0,235,136.213
31,OCO,7,1,MEDIUM,50.167,70.943,43.651,120.0,92,164.761
23,ALB,14,5,SOFT,34.361,55.067,46.899,268.0,163,136.327
16,LEC,23,5,SOFT,27.208,39.453,26.972,313.0,280,93.633
40,RESERVE,10,4,SOFT,35.875554819720385,58.668,37.167,217.0,229,2093.687
18,STR,7,2,HARD,28.102,41.011,27.299,304.0,272,96.412
18,STR,4,1,MEDIUM,27.687,39.968,26.919,309.0,276,94.574
10,GAS,17,3,HARD,29.002,42.014,27.856,284.0,258,98.872
55,SAI,18,4,MEDIUM,28.89,41.542,27.801,284.0,255,98.233
14,ALO,9,2,SOFT,35.875554819720385,57.028,42.386,141.0,250,771.029
4,NOR,3,1,MEDIUM,38.037,61.86,38.685,205.0,128,138.582
55,SAI,11,3,MEDIUM,28.708,41.068,27.326,287.0,262,97.102
4,NOR,14,3,SOFT,35.953,61.113,39.8,164.0,135,136.866
23,ALB,4,1,HARD,27.82,40.589,27.149,308.0,276,95.558
14,ALO,13,3,SOFT,27.347,39.537,26.306,309.0,276,93.19
1,VER,5,1,HARD,49.754,68.102,42.962,128.0,168,160.818
24,ZHO,5,1,HARD,44.522,57.995,36.172,123.0,239,138.689
18,STR,22,5,SOFT,33.379,46.603,47.127,237.0,222,127.109
40,RESERVE,7,1,HARD,28.651,41.67,28.014,304.0,273,98.335
16,LEC,3,1,SOFT,44.509,67.125,48.875,156.0,114,160.509
10,GAS,18,3,MEDIUM,33.121,46.728,39.582,237.0,236,119.431
31,OCO,4,1,HARD,27.913,40.525,27.144,306.0,273,95.582
40,RESERVE,12,3,SOFT,43.819,57.462,45.765,243.0,238,147.046
24,ZHO,5,1,MEDIUM,38.676,58.871,36.535,232.0,228,134.082
2,SAR,23,4,HARD,34.171,60.973,53.398,221.0,149,148.542
22,TSU,23,4,MEDIUM,28.921,42.01,27.812,289.0,258,98.743
31,OCO,17,3,HARD,29.232,42.217,27.969,280.0,253,99.418
18,STR,6,1,MEDIUM,28.244,40.534,27.032,292.0,266,95.81
4,NOR,21,4,HARD,28.681,42.397,30.158,310.0,270,101.236
27,HUL,13,2,SOFT,27.795,40.243,26.947,303.0,272,94.985
40,RESERVE,4,2,SOFT,70.636,57.969,48.645,164.0,223,177.25
4,NOR,10,3,SOFT,26.973,39.106,26.224,310.0,277,92.303
77,BOT,2,1,MEDIUM,29.095,42.086,28.127,300.0,271,99.308
24,ZHO,3,1,MEDIUM,36.953,58.42,49.401,215.0,150,144.774
10,GAS,10,1,MEDIUM,37.818,44.211,39.458,231.0,252,121.487
2,SAR,23,5,MEDIUM,29.134,42.912,28.314,252.29595222295953,264,100.36
81,PIA,14,4,SOFT,27.228,39.688,26.345,308.0,275,93.261
77,BOT,20,3,SOFT,27.523,39.446,26.588,307.0,275,93.557
18,STR,19,4,SOFT,31.319,45.179,35.565,248.0,237,112.063
16,LEC,21,5,SOFT,65.079,61.443,33.835,191.0,192,160.357
24,ZHO,7,1,MEDIUM,44.413,62.596,33.724,258.0,202,140.733
77,BOT,17,2,SOFT,29.16,42.538,27.732,282.0,259,99.43
10,GAS,19,3,HARD,35.875554819720385,42.131,27.87,252.29595222295953,256,99.096
24,ZHO,10,2,SOFT,35.875554819720385,51.22,36.279,247.0,195,720.613
81,PIA,22,4,MEDIUM,69.161,50.991,39.688,199.0,223,159.84
4,NOR,19,4,SOFT,28.67,41.748,27.686,284.0,260,98.104
77,BOT,21,4,HARD,29.331,42.232,28.483,282.0,254,100.046
11,PER,5,1,SOFT,27.311,39.041,78.802,310.0,278,145.154
23,ALB,10,4,SOFT,35.875554819720385,52.272,40.99,306.0,275,435.511
63,RUS,11,2,HARD,27.881,40.225,26.899,302.0,275,95.005
27,HUL,19,3,HARD,29.213,42.566,28.315,287.0,260,100.094
55,SAI,14,4,SOFT,34.75,50.534,41.602,230.0,180,126.886
4,NOR,9,2,SOFT,47.014,60.547,48.355,152.0,143,155.916
